day,record_count
2023-02-20,3034
2023-02-19,4997
2023-02-18,4698
2023-02-17,3426
2023-02-16,2715
2023-02-15,2238
2023-02-14,2152
2023-02-13,2262
2023-02-12,4090
2023-02-11,3390
2023-02-10,2323
2023-02-09,2231
2023-02-08,2419
2023-02-07,2482
2023-02-06,2560
2023-02-05,4090
2023-02-04,3602
2023-02-03,2987
2023-02-02,2763
2023-02-01,2962
2023-01-31,3266
2023-01-30,3221
2023-01-29,4800
2023-01-28,4213
2023-01-27,3307
2023-01-26,3108
2023-01-25,2719
2023-01-24,2443
2023-01-23,2886
2023-01-22,4534
2023-01-21,3859
2023-01-20,3031
2023-01-19,3121
2023-01-18,3185
2023-01-17,3022
2023-01-16,2671
2023-01-15,3332
2023-01-14,3159
2023-01-13,2159
2023-01-12,2121
2023-01-11,2096
2023-01-10,2037
2023-01-09,1852
2023-01-08,2487
2023-01-07,2258
2023-01-06,2144
2023-01-05,1926
2023-01-04,2148
2023-01-03,1945
2023-01-02,1863
2023-01-01,1546
2022-12-31,644
2022-12-30,1295
2022-12-29,1509
2022-12-28,1710
2022-12-27,1930
2022-12-26,2085
2022-12-25,993
2022-12-24,783
2022-12-23,874
2022-12-22,1013
2022-12-21,832
2022-12-20,829
2022-12-19,974
2022-12-18,1590
2022-12-17,1423
2022-12-16,1088
2022-12-15,1341
2022-12-14,1443
2022-12-13,1429
2022-12-12,1391
2022-12-11,2387
2022-12-10,1969
2022-12-09,1570
2022-12-08,1815
2022-12-07,1520
2022-12-06,1543
2022-12-05,1735
2022-12-04,3082
2022-12-03,2479
2022-12-02,1836
2022-12-01,1761
2022-11-30,1323
2022-11-29,1429
2022-11-28,1123
2022-11-27,1858
2022-11-26,1859
2022-11-25,946
2022-11-24,1276
2022-11-23,1430
2022-11-22,1429
2022-11-21,1151
2022-11-20,1940
2022-11-19,1658
2022-11-18,1436
2022-11-17,1342
2022-11-16,1211
2022-11-15,1350
2022-11-14,1460
2022-11-13,2174
2022-11-12,1663
2022-11-11,1629
2022-11-10,1581
2022-11-09,2079
2022-11-08,2049
2022-11-07,1678
2022-11-06,2670
2022-11-05,2270
2022-11-04,1802
2022-11-03,1885
2022-11-02,1915
2022-11-01,2680
2022-10-31,1842
2022-10-30,2854
2022-10-29,2477
2022-10-28,2202
2022-10-27,2192
2022-10-26,2264
2022-10-25,2184
2022-10-24,2170
2022-10-23,2881
2022-10-22,2440
2022-10-21,2091
2022-10-20,2028
2022-10-19,1933
2022-10-18,1567
2022-10-17,1676
2022-10-16,2488
2022-10-15,2217
2022-10-14,1790
2022-10-13,1926
2022-10-12,1989
2022-10-11,1738
2022-10-10,1954
2022-10-09,2641
2022-10-08,2303
2022-10-07,1887
2022-10-06,1957
2022-10-05,2237
2022-10-04,2063
2022-10-03,2803
2022-10-02,3832
2022-10-01,3467
2022-09-30,2758
2022-09-29,2455
2022-09-28,2533
2022-09-27,2344
2022-09-26,2219
2022-09-25,3214
2022-09-24,2921
2022-09-23,2365
2022-09-22,2354
2022-09-21,2834
2022-09-20,2404
2022-09-19,2437
2022-09-18,3878
2022-09-17,3577
2022-09-16,3278
2022-09-15,2784
2022-09-14,2293
2022-09-13,2601
2022-09-12,2088
2022-09-11,2993
2022-09-10,2106
2022-09-09,1983
2022-09-08,2588
2022-09-07,1984
2022-09-06,1844
2022-09-05,1762
2022-09-04,3182
2022-09-03,2244
2022-09-02,1892
2022-09-01,2266
2022-08-31,2309
2022-08-30,1677
2022-08-29,1706
2022-08-28,2703
2022-08-27,2109
2022-08-26,1746
2022-08-25,1972
2022-08-24,2311
2022-08-23,2307
2022-08-22,2351
2022-08-21,2999
2022-08-20,2500
2022-08-19,1876
2022-08-18,1607
2022-08-17,1692
2022-08-16,1199
2022-08-15,1528
2022-08-14,1623
2022-08-13,1456
2022-08-12,1556
2022-08-11,1209
2022-08-10,1374
2022-08-09,1583
2022-08-08,1389
2022-08-07,1929
2022-08-06,1659
2022-08-05,1504
2022-08-04,1340
2022-08-03,1348
2022-08-02,1665
2022-08-01,1424
2022-07-31,1640
2022-07-30,1277
2022-07-29,1162
2022-07-28,893
2022-07-27,1084
2022-07-26,976
2022-07-25,908
2022-07-24,1040
2022-07-23,816
2022-07-22,655
2022-07-21,871
2022-07-20,1061
2022-07-19,1018
2022-07-18,855
2022-07-17,1076
2022-07-16,835
2022-07-15,696
2022-07-14,790
2022-07-13,672
2022-07-12,686
2022-07-11,688
2022-07-10,1326
2022-07-09,1064
2022-07-08,958
2022-07-07,1065
2022-07-06,1188
2022-07-05,1436
2022-07-04,1727
2022-07-03,2329
2022-07-02,2121
2022-07-01,2008
2022-06-30,2541
2022-06-29,2622
2022-06-28,2395
2022-06-27,1803
2022-06-26,2073
2022-06-25,1433
2022-06-24,1054
2022-06-23,986
2022-06-22,1243
2022-06-21,1375
2022-06-20,1222
2022-06-19,1884
2022-06-18,1447
2022-06-17,1230
2022-06-16,1431
2022-06-15,1489
2022-06-14,1356
2022-06-13,1483
2022-06-12,1876
2022-06-11,1920
2022-06-10,1423
2022-06-09,1239
2022-06-08,1541
2022-06-07,1240
2022-06-06,1653
2022-06-05,1825
2022-06-04,1523
2022-06-03,1647
2022-06-02,1627
2022-06-01,1351
2022-05-31,1372
2022-05-30,1439
2022-05-29,2002
2022-05-28,1389
2022-05-27,1009
2022-05-26,1021
2022-05-25,1220
2022-05-24,1342
2022-05-23,1104
2022-05-22,1633
2022-05-21,1180
2022-05-20,1005
2022-05-19,1211
2022-05-18,1411
2022-05-17,1164
2022-05-16,1258
2022-05-15,2282
2022-05-14,1947
2022-05-13,1749
2022-05-12,2260
2022-05-11,2028
2022-05-10,2981
2022-05-09,2682
2022-05-08,3824
2022-05-07,2833
2022-05-06,2336
2022-05-05,2608
2022-05-04,2614
2022-05-03,2306
2022-05-02,2278
2022-05-01,3199
2022-04-30,2708
2022-04-29,2525
2022-04-28,3128
2022-04-27,3193
2022-04-26,3468
2022-04-25,4846
2022-04-24,3712
2022-04-23,3550
2022-04-22,2644
2022-04-21,2355
2022-04-20,1904
2022-04-19,1529
2022-04-18,2357
2022-04-17,2072
2022-04-16,1785
2022-04-15,2140
2022-04-14,1685
2022-04-13,1651
2022-04-12,1684
2022-04-11,1408
2022-04-10,2576
2022-04-09,2293
2022-04-08,1837
2022-04-07,2696
2022-04-06,1662
2022-04-05,2218
2022-04-04,3558
2022-04-03,5593
2022-04-02,4612
2022-04-01,3928
2022-03-31,2914
2022-03-30,3480
2022-03-29,3579
2022-03-28,3462
2022-03-27,5246
2022-03-26,4069
2022-03-25,4049
2022-03-24,3503
2022-03-23,3452
2022-03-22,3442
2022-03-21,2863
2022-03-20,4861
2022-03-19,4103
2022-03-18,3273
2022-03-17,2836
2022-03-16,3672
2022-03-15,3450
2022-03-14,3060
2022-03-13,6140
2022-03-12,5134
2022-03-11,3800
2022-03-10,3061
2022-03-09,2668
2022-03-08,1953
2022-03-07,2641
2022-03-06,4645
2022-03-05,3638
2022-03-04,2672
2022-03-03,3233
2022-03-02,4098
2022-03-01,2367
2022-02-28,2220
2022-02-27,3301
2022-02-26,2868
2022-02-25,1673
2022-02-24,2034
2022-02-23,2570
2022-02-22,2442
2022-02-21,2329
2022-02-20,4581
2022-02-19,3613
2022-02-18,3109
2022-02-17,3361
2022-02-16,3326
2022-02-15,2741
2022-02-14,2190
2022-02-13,4302
2022-02-12,3866
2022-02-11,3148
2022-02-10,2826
2022-02-09,2743
2022-02-08,2587
2022-02-07,2448
2022-02-06,4338
2022-02-05,3110
2022-02-04,3657
2022-02-03,2767
2022-02-02,2387
2022-02-01,2930
2022-01-31,3739
2022-01-30,5533
2022-01-29,4037
2022-01-28,3009
2022-01-27,3139
2022-01-26,2579
